Index,Time(ns)
1209000,3073
1210000,2794
1211000,2793
1212000,2514
1213000,2794
1214000,2793
1215000,3073
1216000,2793
1217000,2515
1218000,2794
1219000,3073
1220000,2793
1221000,2794
1222000,3073
1223000,3073
1224000,2794
1225000,3073
1226000,2235
1227000,2794
1228000,2794
1229000,3073
1230000,4190
1231000,3073
1232000,3073
1233000,2794
1234000,3073
1235000,2514
1236000,2794
1237000,2793
1238000,3352
1239000,3073
1240000,2514
1241000,2793
1242000,3073
1243000,2515
1244000,2514
1245000,2793
1246000,3352
1247000,3073
1248000,2515
1249000,3073
1250000,3352
1251000,2793
1252000,3073
1253000,3073
1254000,3352
1255000,2794
1256000,3073
1257000,2514
1258000,2794
1259000,2794
1260000,3352
1261000,2794
1262000,2794
1263000,3073
1264000,2514
1265000,2793
1266000,2515
1267000,2794
1268000,2794
1269000,3073
1270000,3073
1271000,2793
1272000,3073
1273000,2514
1274000,2793
1275000,2794
1276000,3911
1277000,3353
1278000,2514
1279000,2794
1280000,2793
1281000,2793
1282000,3073
1283000,3073
1284000,2794
1285000,2793
1286000,2514
1287000,2514
1288000,3073
1289000,3073
1290000,2794
1291000,2793
1292000,2515
1293000,3073
1294000,2793
1295000,2515
1296000,2793
1297000,3073
1298000,2514
1299000,2514
1300000,2794
1301000,3073
1302000,2794
1303000,2514
1304000,2514
1305000,2793
1306000,20673
1307000,2514
1308000,2794
1309000,2793
1310000,2794
1311000,2235
1312000,2515
1313000,2793
1314000,2515
1315000,3074
1316000,2514
1317000,3073
1318000,2794
1319000,3073
1320000,2514
1321000,5867
1322000,3352
1323000,3074
1324000,2235
1325000,2514
1326000,3073
1327000,2794
1328000,2514
1329000,3073
1330000,2515
1331000,2514
1332000,3073
1333000,3353
1334000,2514
1335000,2794
1336000,2794
1337000,3352
1338000,2794
1339000,2514
1340000,3353
1341000,3353
1342000,3073
1343000,3073
1344000,3073
1345000,2793
1346000,2794
1347000,2793
1348000,2794
1349000,4191
1350000,2794
1351000,2794
1352000,4191
1353000,3352
1354000,2514
1355000,2793
1356000,2794
1357000,5029
1358000,3631
